         1  0.8993E+01  0.0000E+00  0.8993E+01
       910  0.7257E+01  0.2191E+01  0.9447E+01
      1819  0.7498E+01  0.1949E+01  0.9447E+01
      2728  0.7084E+01  0.2364E+01  0.9447E+01
      3637  0.7739E+01  0.1707E+01  0.9447E+01
      4546  0.7187E+01  0.2260E+01  0.9447E+01
      5455  0.6872E+01  0.2577E+01  0.9448E+01
      6364  0.7287E+01  0.2160E+01  0.9447E+01
      7273  0.6937E+01  0.2510E+01  0.9447E+01
      8182  0.6964E+01  0.2483E+01  0.9447E+01
      9091  0.6763E+01  0.2687E+01  0.9450E+01
     10000  0.7117E+01  0.2330E+01  0.9448E+01
